Названия строк;1;2;3;4;5;6;7;8;9;10;11;12
3888C5D8-46FA-11E9-99D9-C69417C43C93;1 166;1 287;2 211;3 428;3 269;5 516;9 764;6 710;7 921;10 393;11 868;13 807
C9D688E7-BF57-4F3E-B9E4-241C38461160;2 831;5 321;8 664;8 257;9 835;6 461;4 099;5 790;5 337;6 830;7 843;4 557
13B716B1-789E-11E5-B1B7-00505602071E;3 134;4 614;5 932;8 863;7 123;6 264;6 152;4 849;7 287;4 633;6 521;6 662
02617F6D-4A2A-11E9-99D9-C69417C43C93;6 185;3 994;5 874;5 645;6 230;8 345;5 078;9 859;4 857;4 298;3 060;8 170
30C79DED-C957-4FC5-91B8-4F0F0E57DB0F;5 397;6 341;7 617;5 825;5 421;5 526;7 263;6 678;5 399;4 768;4 660;4 925
1D1E038F-66B4-11E5-B1B7-00505602071E;2 068;1 362;1 962;1 968;3 962;5 825;4 917;7 477;7 855;9 140;8 828;9 443
14899D0F-FBA9-4647-862C-6FF05E46C6B7;2 049;4 465;4 442;3 472;4 234;4 578;7 220;14 912;5 521;3 977;4 144;3 403
97F37185-7905-457F-A2F9-3ED14776049A;3 439;3 586;2 593;3 841;3 272;4 848;5 833;5 789;6 055;6 681;6 885;9 183
00000000-0000-0000-0000-051373760501;2 484;4 404;3 058;4 757;1 916;4 568;4 294;5 531;4 325;6 862;8 277;7 502
D35227A4-72CA-11E8-A7D5-005056A225F3;2 220;3 461;3 752;4 028;4 610;4 282;5 092;5 526;5 949;5 874;5 730;5 602
6C3F669D-A63F-4005-9C32-DFD680852E24;74;19;5;252;60;5 618;7 851;8 727;4 837;8 746;3 817;11 283
7CF7C27F-2708-43F7-BDCE-3FABB704640C;1 213;2 247;1 733;2 682;3 742;4 657;4 607;7 204;5 992;4 914;5 921;5 468
E4DBF615-14B5-4B64-84DD-66041739A816;608;1 992;5 615;5 877;4 640;5 136;4 443;4 096;3 381;3 871;3 707;4 452
6E31BD96-A121-11E8-86AD-005056A225F3;1 188;1 277;2 133;3 099;3 196;3 171;4 675;4 336;4 797;5 356;7 569;6 423
9030AFB5-ED39-11E6-898D-005056A2384C;1 171;2 259;2 558;2 574;2 427;4 589;4 316;5 532;3 801;5 368;4 640;6 522
30E30715-1846-4592-9633-34FE3A293D82;2 511;3 062;3 489;2 955;2 275;2 811;3 900;5 494;4 340;5 998;3 421;4 683
7A5E4EA0-9708-11E8-A7D5-005056A225F3;1 771;2 142;3 052;2 475;2 334;3 473;4 017;4 366;3 596;4 109;3 809;4 807
6E0D8A67-4C21-11E7-93EC-005056A225F3;1 592;2 055;3 586;3 277;3 267;3 936;2 840;3 189;3 426;3 427;3 532;4 893
D34AA084-5B0F-4C0C-BBE2-5C91C4C309AD;1 023;2 118;2 677;2 897;3 548;3 686;2 115;2 580;3 469;4 034;4 664;6 123
4C636C33-E657-11E7-9EA6-005056A225F3;1 032;1 186;3 600;1 723;1 463;2 657;5 176;3 783;3 310;3 112;4 358;4 720
0ED106BF-1FAE-11E9-90E2-005056A27BA9;1 787;2 097;2 719;3 853;3 318;1 859;2 219;3 306;4 571;3 797;3 377;2 587
D2BD0CD0-BBCB-4549-B935-8EFA8E66C833;1 167;2 345;2 904;2 426;2 315;2 661;2 105;2 074;4 208;2 237;5 531;4 494
Электрика и свет;;;;;;;;;;;;
00000000-0000-0000-0000-050984831839;24 001;29 710;33 634;35 575;31 708;39 405;36 684;38 706;43 608;50 144;52 323;56 500
15D258C6-5564-11E5-A8FB-00505602071E;19 637;21 103;25 829;25 130;25 440;30 645;31 076;34 585;33 930;31 250;36 628;41 051
D2BD0CD0-BBCB-4549-B935-8EFA8E66C833;12 340;14 978;20 062;23 655;20 506;21 714;23 189;26 996;36 039;39 452;46 315;53 769
00000000-0000-0000-0000-051619559261;9 871;12 514;17 226;19 553;16 327;18 471;22 282;25 985;23 642;37 030;56 884;62 661
64EC49C7-A534-4497-ABE3-6EA93C08BFF1;10 986;15 837;19 649;21 337;19 382;22 856;25 811;28 084;30 317;33 595;35 881;43 327
00000000-0000-0000-0000-000000000000;13 281;16 419;17 680;20 237;19 907;26 639;25 743;26 633;36 725;36 645;30 904;12 216
1566670A-493D-11E9-99D9-C69417C43C93;15 874;18 211;20 353;19 594;13 024;12 163;14 864;18 957;28 924;27 499;27 239;37 864
A8EDDE38-3B92-420D-AA2B-4B9AA3759008;15 549;17 925;21 511;19 900;13 541;15 478;13 247;18 491;20 839;25 046;31 189;33 527
00000000-0000-0000-0000-050252709207;17 275;19 133;22 734;19 496;15 387;18 767;18 230;22 593;22 766;20 178;21 708;27 403
